id	name	type	parentshortcut	opshortcut	path	relPath	parentPath	wirePath	depth	tags	isCOMP	nodeX	nodeY	nodeWidth	nodeHeight	dockId	recursiveChildren
9805	panelexec1	panelexecuteDAT			/project2/elec_municipios_container1/boton_municipios_6/panelexec1	project2/elec_municipios_container1/boton_municipios_6/panelexec1			4		0	310	-50	126	62	-1	0
9806	boton_municipios_7	buttonCOMP			/project2/elec_municipios_container1/boton_municipios_7	project2/elec_municipios_container1/boton_municipios_7	/project2/elec_municipios_container1	boton_municipios_7	3		1	1005	-442	160	134	-1	5
9808	par1	parameterCHOP			/project2/elec_municipios_container1/boton_municipios_7/par1	project2/elec_municipios_container1/boton_municipios_7/par1			4		0	130	220	130	90	-1	0
9809	text	textCOMP			/project2/elec_municipios_container1/boton_municipios_7/text	project2/elec_municipios_container1/boton_municipios_7/text	/project2/elec_municipios_container1/boton_municipios_7	text	4		1	130	74	113	96	-1	0
9810	parexec1	parameterexecuteDAT			/project2/elec_municipios_container1/boton_municipios_7/parexec1	project2/elec_municipios_container1/boton_municipios_7/parexec1			4		0	130	-50	128	66	-1	0
9811	panelexec1	panelexecuteDAT			/project2/elec_municipios_container1/boton_municipios_7/panelexec1	project2/elec_municipios_container1/boton_municipios_7/panelexec1			4		0	310	-50	126	62	-1	0
9812	boton_municipios_8	buttonCOMP			/project2/elec_municipios_container1/boton_municipios_8	project2/elec_municipios_container1/boton_municipios_8	/project2/elec_municipios_container1	boton_municipios_8	3		1	1255	-442	160	134	-1	5
9814	par1	parameterCHOP			/project2/elec_municipios_container1/boton_municipios_8/par1	project2/elec_municipios_container1/boton_municipios_8/par1			4		0	130	220	130	90	-1	0
9815	text	textCOMP			/project2/elec_municipios_container1/boton_municipios_8/text	project2/elec_municipios_container1/boton_municipios_8/text	/project2/elec_municipios_container1/boton_municipios_8	text	4		1	130	74	113	96	-1	0
9816	parexec1	parameterexecuteDAT			/project2/elec_municipios_container1/boton_municipios_8/parexec1	project2/elec_municipios_container1/boton_municipios_8/parexec1			4		0	130	-50	128	66	-1	0
9817	panelexec1	panelexecuteDAT			/project2/elec_municipios_container1/boton_municipios_8/panelexec1	project2/elec_municipios_container1/boton_municipios_8/panelexec1			4		0	310	-50	126	62	-1	0
9818	boton_municipios_9	buttonCOMP			/project2/elec_municipios_container1/boton_municipios_9	project2/elec_municipios_container1/boton_municipios_9	/project2/elec_municipios_container1	boton_municipios_9	3		1	505	-667	160	134	-1	5
9820	par1	parameterCHOP			/project2/elec_municipios_container1/boton_municipios_9/par1	project2/elec_municipios_container1/boton_municipios_9/par1			4		0	130	220	130	90	-1	0
9821	text	textCOMP			/project2/elec_municipios_container1/boton_municipios_9/text	project2/elec_municipios_container1/boton_municipios_9/text	/project2/elec_municipios_container1/boton_municipios_9	text	4		1	130	74	113	96	-1	0
9822	parexec1	parameterexecuteDAT			/project2/elec_municipios_container1/boton_municipios_9/parexec1	project2/elec_municipios_container1/boton_municipios_9/parexec1			4		0	130	-50	128	66	-1	0
9823	panelexec1	panelexecuteDAT			/project2/elec_municipios_container1/boton_municipios_9/panelexec1	project2/elec_municipios_container1/boton_municipios_9/panelexec1			4		0	310	-50	126	62	-1	0
9824	boton_municipios_10	buttonCOMP			/project2/elec_municipios_container1/boton_municipios_10	project2/elec_municipios_container1/boton_municipios_10	/project2/elec_municipios_container1	boton_municipios_10	3		1	755	-667	160	134	-1	5
